 38 168 376 0
 36 169 369 0
 37 157 360 0
 41 151 357 0
 44 142 358 0
 44 147 344 0
 48 147 341 0
 46 142 333 0
 46 134 349 0
 40 133 348 0
 41 128 356 0
 45 129 356 0
 46 138 363 0
 46 136 382 0
 50 138 385 0
 47 146 370 0
 46 157 383 0
 43 155 379 0
 43 145 375 0
 50 143 371 0
 49 140 360 0
 50 131 353 0
 49 124 347 0
 50 127 358 0
 49 122 364 0
 44 134 366 0
 45 134 386 0
 47 138 391 0
 44 141 398 0
 48 144 398 0
 43 148 404 0
 44 149 414 0
 39 156 411 0
 38 152 423 0
 38 158 419 0
 39 162 423 0
 39 160 431 0
 39 166 411 0
 41 164 410 0
 40 172 412 0
 37 171 421 0
 34 171 432 0
 30 173 427 0
 35 181 411 0
 35 198 409 0
 34 205 399 0
 37 210 401 0
 34 207 391 0
 32 211 398 0
 33 221 396 0
 31 224 390 0
 31 215 405 0
 32 225 403 0
 35 213 396 0
 34 210 378 0
 38 218 378 0
 34 223 372 0
 35 215 359 0
 34 218 359 0
 30 225 354 0
 27 229 357 0
 21 226 352 0
 17 225 326 0
 16 228 335 0
 15 226 335 0
 15 229 338 0
 16 234 334 0
 15 229 341 0
 14 229 355 0
 17 228 344 0
 19 228 350 0
 18 231 339 0
 17 226 353 0
 15 223 352 0
 13 229 347 0
 13 240 341 0
 14 243 341 0
 14 249 320 0
 16 242 313 0
 15 253 316 0
 14 252 327 0
 12 250 322 0
 14 246 313 0
 15 254 309 0
 16 239 305 0
 15 246 312 0
 14 251 328 0
 15 247 325 0
 13 255 337 0
 13 260 338 0
 10 260 346 0
 9 255 348 0
 12 258 359 0
 12 272 364 0
 10 271 355 0
 8 283 353 0
 8 292 357 0
 7 297 342 0
 10 299 350 0
 9 298 354 0
 10 302 359 0
 8 308 359 0
 10 313 356 0
 10 306 354 0
 10 314 342 0
 10 323 340 0
 13 342 338 0
 13 349 337 0
 13 335 332 0
 13 339 330 0
 13 333 327 0
 11 343 330 0
 10 349 326 0
 11 357 327 0
 9 361 322 0
 8 361 320 0
 8 350 326 0
 8 348 328 0
 10 338 333 0
 7 355 344 0
 7 348 344 0
 6 355 356 0
 6 355 344 0
 7 365 343 1
 6 343 335 1
 5 354 325 2
 5 364 335 2
 6 366 325 2
 6 362 316 2
 7 370 313 2
 10 386 308 2
 12 386 292 2
 13 400 280 2
 13 406 280 2
 10 430 284 2
 10 434 283 2
 9 433 286 1
 10 433 274 1
 11 441 267 0
 10 429 260 0
 11 444 248 0
 8 444 245 0
 9 445 243 0
 8 422 231 0
 7 425 225 0
 7 418 230 0
 5 433 225 0
 5 426 215 0
 6 427 217 0
 4 443 220 0
 2 455 215 0
 3 447 219 1
 3 445 211 1
 4 449 199 1
 4 428 194 1
 3 432 187 1
 3 422 178 2
 2 433 179 2
 2 428 172 3
 2 422 169 2
 2 423 169 3
 2 432 173 5
 2 435 174 5
 2 428 173 5
 2 429 169 5
 2 428 175 5
 2 434 173 5
 2 443 167 5
 2 447 148 6
 2 459 145 4
 2 461 151 3
 2 465 142 3
 2 456 147 5
 2 462 150 5
 2 461 152 4
 3 485 146 4
 3 506 141 4
 3 510 143 4
 3 506 141 4
 3 495 134 4
 3 497 133 6
 4 498 142 7
 4 515 149 8
 2 517 156 7
 2 511 159 7
 3 516 154 7
 3 517 157 8
 3 526 153 8
 3 525 158 7
 2 523 153 7
 1 537 145 8
 1 535 148 8
 1 516 150 7
 1 519 136 7
 1 512 135 7
 1 530 136 7
 0 523 131 7
 0 503 119 6
 0 503 108 8
 0 511 99 9
 0 509 103 9
 0 511 103 10
 0 521 106 8
